id,imdb_id,wikidata_id,tmdb_id
08ff3gp1,nm1343394,Q56604143,129561
1y9wp605,nm0005028,Q169946,11661
50e27dgt,nm0000576,Q44221,2228
5hdtekcd,nm8624059,Q53909401,2034418
6mrheppj,nm0001745,Q208667,1640
71kzk7kj,nm0126284,Q228717,9827
b3m8grkk,nm3363032,Q7383978,1056121
e7h058fs,nm0609944,Q922503,52583
egbz9pn1,nm0430107,Q3308007,135651
fm1c0yg2,nm0001125,Q193668,1121
fxnz59w3,nm0000138,Q38111,6193
kxglhmtl,nm4561559,Q28718257,1576786
mp1qr6xw,nm0000160,Q484615,569
nbxbkht2,nm3154303,Q19877770,1190668
pck0ljxe,nm2976580,Q6187642,1498158
pelfst4h,nm0000759,Q25132,4762
s9tkmkj3,nm0005148,Q362559,18792
xefe5mfk,nm1258686,Q653571,71609
xzygh8wnn4,nm2125482,Q21078321,1395183
yjl2d6hq,nm1297015,Q147077,54693
